IDLibro,Titolo,Autori,Casa_Editrice,Luogo_stampa,Anno_Pubblicazione,ISBN,Lingua,Genere,Data_Cat,Volumi,Numero
130BL23,"La Compagnia dei Celestini","Benni Stefani","La biblioteca della Repubblica",Milano,2003,,Italiano,Narrativa,2023-03-01,Unico,130
131JL23,"La donna sensuale",J,"Sansoni Editore",Firenze,1971,,Italiano,Narrativa,2023-03-01,Unico,131
133BI23,"Il soccombente","Bernhard Thomas","La biblioteca della Repubblica",Milano,2003,8496142159,Italiano,Narrativa,2023-03-01,Unico,133
134AA23,"Auschwitz ero il numero 22C543","Awey Denis","Newton Compton",Roma,2021,9788854131958,Italiano,Autobiografia,2023-03-01,Unico,134
135JS23,"Su cose che si vedono nel cielo","Jung Gustav Carl",Bompiani,Milano,1958,,Italiano,Saggio,2023-03-01,Unico,135
136JU23,"Una poetica strumentale: Gabriele d'Annunzio","Jacomuzzi Angelo","Giulio Einaudi Editore",Torino,1974,,Italiano,Narrativa,2023-03-01,Unico,136
137JA23,"Autobiografia degli anni di mezzo","James Henry","Il Sole 24 ore",Milano,2011,,Italiano,Autobiografia,2023-03-01,Unico,137
"138 G23","Gente di Dublino"," Joyce James","Bruno Mondadori",Milano,2005,8842431125,Italiano,Narrativa,2023-03-01,Unico,138
139JI23,"Il carteggio Aspern","James Henry","La biblioteca di repubblica",Roma,2011,,Italiano,Narrativa,2023-03-01,Unico,139
140JD23,Dedalus,"Joyce James",Einaudi,Torino,1967,8806275658,Italiano,Autobiografia,2023-03-01,Unico,140
141JD23,Dedalus,"Joyce James",Einaudi,Torino,1967,8806275658,Italiano,Autobiografia,2023-03-01,Unico,141
143BI23,"Il romanzo di Tristano e Isotta","Bedier Joseph",Edisco,Torino,1999,88441153212,Italiano,Storico,2023-03-01,Unico,143
144JR23,"Ritratto di signora","James Henry","Giulio Einaudi Editore",Torino,1943,,Italiano,Narrativa,2023-03-01,Unico,144
145JS23,"Signora Ava","Jovine Francesco","Giulio Einaudi Editore",Torino,1967,8806275658,Italiano,Storico,2023-03-01,Unico,145
146JN23,"Notte fatale","Jelloun Ben Tahar","Einaudi tascabili",Torino,1993,8806131680,Italiano,Narrativa,2023-03-01,Unico,146
147JI23,"I figli di lucy","Johanson Donald e Shreeve James","Arnoldo Mondadori Editore",Milano,1990,,Italiano,Storico,2023-03-01,Unico,147
148JI23,"Il mondo conosciuto","Jones P. Edward",Bompiani,Milano,2005,8845234614,Italiano,Storico,2023-03-01,Unico,148
149BD23,"Dei delitti e delle pene","Beccaria Cesare",Feltrinelli,Milano,2000,8807820005,Italiano,Storico,2023-03-01,Unico,149
150BD23,"Dei delitti e delle pene","Beccaria Cesare",Feltrinelli,Milano,2003,8807820005,Italiano,Storico,2023-03-01,Unico,150
151JF23,"Futuro biologico","Jones Alun e Bodmer F. Walter","Boringhieri Editore",Torino,1979,,Italiano,Saggio,2023-03-01,Unico,151
152BG23,"Giulia 1300 e altri miracoli","Bartolomei Fabio","Edizioni E/O",Roma,2011,9788876419485,Italiano,"Narrativa, Umoristico",2023-03-07,Unico,152
153BL23,"L'odore del fieno","Bassani Giorgio","Arnoldo Mondadori Editore",,1972,,Italiano,Narrativa,2023-03-07,Unico,153
154BI23,"Il giardino dei Finzi-Contini","Bassani Giorgio","La biblioteca della Repubblica",Roma,2003,8497890086,Italiano,Storico,2023-03-07,Unico,154
155BF23,"Fine della strada","Barth John","Biblioteca Universale Rizzoli",,1976,,,Narrativa,2023-03-07,Unico,155
156BO23,"Oceano mare","Baricco Alessandro","La biblioteca della Repubblica",,2002,8496075761,Italiano,Narrativa,2023-03-07,Unico,156
157BO23,"Oceano mare","Baricco Alessandro","La biblioteca della Repubblica",,2002,8496075761,Italiano,Narrativa,2023-03-07,Unico,157
158BL23,"L'uomo del gulag","Bardach Janusz, Gleeson Kathleen",Mondadori,Milano,2001,,Italiano,"Autobiografia, Storico",2023-03-07,Unico,158
159BT23,Tanamera,"Barber Noel","Sperling & Kupfer",Milano,1982,,Italiano,"Narrativa, Sentimentale/Rosa",2023-03-07,Unico,159
160Bi23,"il rabdomante","Bacchelli Riccardo",Mondadori,,1961,,Italiano,Narrativa,2023-03-22,Unico,160
161AM23,"Memorie di un terrorista",Avner,Mondadori,,1960,,Italiano,Autobiografia,2023-03-07,Unico,161
162BI23,"Il deserto dei Tartari","Buzzati Dino","La biblioteca della Repubblica",,2002,8481304883,Italiano,Narrativa,2023-03-07,Unico,162
163BI23,"Il deserto dei Tartari","Buzzati Dino","La biblioteca della Repubblica",,2002,8481304883,Italiano,Narrativa,2023-03-07,Unico,163
164BB23,"Bàrnabo delle montagne","Buzzati Dino",Mondadori,Italia,2005,8804480963,Italiano,Narrativa,2023-03-07,Unico,164
165BN23,"Nati per amare","Buscaglia Leo",Mondadori,Milano,1993,,Italiano,"Divulgazione Scientifica",2023-03-22,Unico,165
166BP23,"Pasto Nudo","Burroghs William S.","La biblioteca della Repubblica",,2003,8497891503,Italiano,Fantascienza,2023-03-07,Unico,166
167BR23,"Romanzi e racconti",Bulgakov,"Grandi Tascabili Economici Newton",Milano,1974,8879837362,Italiano,Narrativa,2023-03-07,Unico,167
168BI23,"Il maestro e Margherita","Bulgakov Michail Afanas'evic","Biblioteca Economica Newton",Roma,1994,8879836315,Italiano,"Satira, Sentimentale/Rosa, Fantasy",2023-03-08,Unico,168
169BI23,"Il maestro e Margherita","Bulgakov Michail Afanas'evic","Giulio Einaudi Editore",Torino,2002,8481304573,Italiano,"Satira, Sentimentale/Rosa, Fantasy",2023-03-08,Unico,169
170BI23,"Il maestro e Margherita","Bulgakov Michail Afanas'evic","Giulio Einaudi Editore",Torino,2002,8481304573,Italiano,"Satira, Sentimentale/Rosa, Fantasy, Sentimentale/Rosa, Fantasy",2023-03-08,Unico,170
